Part Value               Device                   Package               Description                                                                                                                                                                                                       
C1   10uF                CAP_POLPTH2              CPOL-RADIAL-10UF-25V  Capacitor Polarized                                                                                                                                                                                               
C2   .01uF               CAP0603-CAP              0603-CAP              Capacitor                                                                                                                                                                                                         
C3   100uF               CAP_POLPTH1              CPOL-RADIAL-100UF-25V Capacitor Polarized                                                                                                                                                                                               
C4   .1uF                CAP0603-CAP              0603-CAP              Capacitor                                                                                                                                                                                                         
C5   .047uF              CAP0603-CAP              0603-CAP              Capacitor                                                                                                                                                                                                         
C6   .1uF                CAP0402-CAP              0402-CAP              Capacitor                                                                                                                                                                                                         
C8   10uF                CAP_POL6032              EIA6032               Capacitor Polarized                                                                                                                                                                                               
C9   10uF                CAP_POL6032              EIA6032               Capacitor Polarized                                                                                                                                                                                               
D1   1N4007              DIODESMA                 SMA-DIODE             Diode                                                                                                                                                                                                             
IC1  LM1117 5V Regulator                         V_REG_LM1117SOT223       SOT223                Voltage Regulator LM1117                                                                                                                                                                                          
IC3  OPAMP-DUALU         OPAMP-DUALU              SO08                  Operational Amplifier                                                                                                                                                                                             
J1   POWER_JACKPTH       POWER_JACKPTH            POWER_JACK_PTH        Power Jack                                                                                                                                                                                                        
J2   1X2-3.5MM           1X2-3.5MM                1X2-3.5MM             3.5mm Terminal block                                                                                                                                                                                              
JP2                      JUMPER-2PTH              1X02                  Jumper                                                                                                                                                                                                            
JP3                      JUMPER-2PTH              1X02                  Jumper                                                                                                                                                                                                            
LED1 BLUE                LED0603                  LED-0603              LEDs                                                                                                                                                                                                              
LED2 RED                 LED0603                  LED-0603              LEDs                                                                                                                                                                                                              
Q1   2N2222              TRANSISTOR_NPNTO-92-AMMO TO-92-AMMO            Transistor NPN                                                                                                                                                                                                    
R1   150                 RESISTOR0603-RES         0603-RES              Resistor                                                                                                                                                                                                          
R2   470                 RESISTOR0603-RES         0603-RES              Resistor                                                                                                                                                                                                          
R3   2.2k                RESISTOR0603-RES         0603-RES              Resistor                                                                                                                                                                                                          
R6   47k                 RESISTOR0603-RES         0603-RES              Resistor                                                                                                                                                                                                          
R7   33k                 RESISTOR0603-RES         0603-RES              Resistor                                                                                                                                                                                                          
R8   100k                RESISTOR0603-RES         0603-RES              Resistor                                                                                                                                                                                                          
R9   100k                RESISTOR0603-RES         0603-RES              Resistor                                                                                                                                                                                                          
R10  1M                  RESISTOR0603-RES         0603-RES              Resistor                                                                                                                                                                                                          
R11  1M                  RESISTOR0603-RES         0603-RES              Resistor                                                                                                                                                                                                          
R12  47k                 RESISTOR0603-RES         0603-RES              Resistor                                                                                                                                                                                                          
R13  1k                  RESISTOR0603-RES         0603-RES              Resistor                                                                                                                                                                                                          
R14  100k                RESISTOR0603-RES         0603-RES              Resistor                                                                                                                                                                                                          
R15  470                 RESISTOR0603-RES         0603-RES              Resistor                                                                                                                                                                                                          
S1                       SWITCH-SPSTSMD2          SWITCH-SPDT-SMD       SPST Switch                                                                                                                                                                                                       
SV1                      MA03-1                   MA03-1                PIN HEADER                                                                                                                                                                                                        
SV2                      MA03-1                   MA03-1                PIN HEADER                                                                                                                                                                                                        
U$1  10k                 POT100K_3362U            3362U                                                                                                                                                                                                                                   
U$2  OSHW-LOGOS          OSHW-LOGOS               OSHW-LOGO-S           Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW
U1   RELAY-SOLIDSTATEPTH RELAY-SOLIDSTATEPTH      RELAY-S108T02                                                                                                                                                                                                                           
U2   Audio Jack          AUDIO-JACKPTH            AUDIO-JACK            3.5mm Audio Jack                                                                                                                                                                                                  
